Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","1402","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","4293","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","162","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","1302","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","1895","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","81","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","92","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","22","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","123","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","20","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","62","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","138","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","704","S","Données standardisées"
